STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,FA_SR_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,state,S1,S2,S3,S4,S5,S6
4,88,0,0,0,0,0,0,10,0,3,0,0,0.999860381712894,0,0,0.00013961828710574
4,89,0,0,0,10,3,0,0,0,4,0,0,0,0.999953718621014,4.62813789856401e-05,0
4,90,0,0,0,0,0,0,10,0,3,0,0,0.999899502105449,0,0,0.000100497894551435
4,91,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,92,0,0,0,10,3,0,0,0,4,0,0,0,0.999953718621014,4.628137898564e-05,0
4,93,0,0,0,0,0,0,10,0,3,0,0,0.999899502105449,0,0,0.000100497894551435
4,94,3,7,0,0,0,1,2,5,2,0,1,0,0,0,0
4,95,10,3,0,0,0,0,0,0,1,1,0,0,0,0,0
4,96,0,0,0,0,0,0,10,0,3,0,0,0.999926162388463,0,0,7.38376115373273e-05
4,97,0,0,0,10,3,0,0,0,4,0,0,0,0.999953718621014,4.628137898564e-05,0
4,98,0,0,0,10,4,0,0,0,4,0,0,0,0.999977436888525,2.2563111475259e-05,0
4,99,6,9,0,0,0,1,4,0,2,0,1,0,0,0,0
4,100,0,0,0,0,0,0,10,0,3,0,0,0.999901780158981,0,0,9.82198410193337e-05
4,101,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,102,0,0,0,10,3,0,0,0,4,0,0,0,0.999953718621014,4.628137898564e-05,0
4,103,6,7,0,0,0,0,6,0,2,0,1,0,0,0,0
4,104,0,0,0,0,0,0,10,0,3,0,0,0.999901780158981,0,0,9.82198410193337e-05
4,105,0,0,0,0,0,3,9,0,6,0,0,0,0,0,1
5,106,0,0,0,0,0,0,5,6,6,0,0,0,0,0,1
5,107,0,0,0,0,0,0,7,4,6,0,0,0,0,0,1
5,108,0,0,0,0,0,0,6,5,6,0,0,0,0,0,1
5,109,0,0,0,0,0,0,10,0,3,0,0,0.999860381712894,0,0,0.00013961828710574
