user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13
282,5,2,2,1,1,1,4,3,3,1,1,3
283,NA,1,2,1,4,3,5,1,1,2,4,5
285,5,4,2,2,2,3,5,1,1,2,3,5
287,2,3,5,2,1,2,1,1,1,2,2,5
288,4,1,2,1,5,4,2,2,2,3,2,1
289,5,3,5,1,4,1,1,2,1,1,2,3
290,4,1,4,4,2,NA,4,2,NA,2,2,1
291,3,2,2,3,1,1,1,3,4,2,2,3
292,5,4,5,2,2,3,5,1,4,1,4,4
295,1,1,5,4,5,3,4,NA,2,2,4,1
296,5,4,3,2,1,4,3,4,1,2,4,1
298,4,4,3,2,1,2,1,2,1,2,3,1
299,1,4,4,4,2,4,NA,2,4,3,2,5
300,3,2,1,3,1,1,2,3,3,4,4,2
301,3,1,3,2,3,2,3,2,4,2,4,3
302,2,3,2,2,1,1,2,4,3,2,4,3
303,2,1,4,2,2,4,4,NA,2,2,NA,1
304,4,3,2,1,2,1,5,1,1,2,1,2
305,2,2,2,3,4,3,5,4,4,1,1,3
306,5,3,1,1,3,2,1,2,4,4,4,4
308,2,3,3,2,5,4,4,2,4,3,3,4
310,2,3,2,1,1,4,2,1,3,1,1,4
311,2,3,2,1,1,1,5,1,1,2,4,4
312,5,1,4,4,1,4,4,2,4,3,2,1
313,2,3,2,1,1,3,4,1,2,3,4,1
314,5,4,5,2,3,4,1,2,1,2,3,1
316,5,3,2,1,3,2,3,4,2,2,3,3
317,2,2,2,1,3,2,2,2,4,2,3,2
319,4,3,5,1,1,4,1,4,1,1,4,4
320,NA,3,2,2,2,2,3,4,1,2,3,1
322,5,3,3,2,5,2,4,4,4,2,3,2
323,4,1,3,2,5,4,3,4,1,2,3,1
324,1,3,3,2,2,1,5,1,1,1,1,3
325,5,3,2,2,3,4,5,3,3,2,4,5
327,NA,1,3,2,NA,4,1,4,1,2,3,4
328,4,1,5,2,1,2,1,4,1,2,3,2
329,NA,1,5,4,1,4,4,2,2,3,1,4
331,5,4,5,2,3,2,4,4,1,2,3,4
332,4,1,2,4,3,2,3,4,1,2,4,1
333,3,2,2,1,3,3,2,1,3,1,1,2
334,3,4,2,4,3,3,5,1,1,2,4,1
337,3,4,2,2,3,3,1,1,1,2,2,2
338,2,1,3,2,2,2,4,2,4,2,3,1
339,5,4,5,2,1,3,5,1,1,2,1,1
340,1,3,2,3,2,1,5,3,3,2,4,1
342,3,2,2,1,3,2,5,1,4,2,4,2
343,3,2,1,1,4,1,5,1,3,1,1,2
344,1,4,2,2,1,3,1,4,1,2,3,1
345,3,3,2,1,3,1,2,3,4,1,1,2
346,5,3,2,3,3,1,5,3,3,1,1,2
347,5,3,2,1,3,2,3,4,1,2,1,3
350,5,3,2,1,4,3,2,1,3,1,1,1
351,5,2,2,1,4,1,5,3,3,1,1,2
352,5,4,5,2,1,2,3,4,1,2,3,5
358,1,1,2,4,2,2,1,1,1,2,4,4
360,4,1,3,2,5,2,1,2,1,2,3,1
362,5,1,2,4,4,4,2,1,4,1,1,2
366,5,1,5,4,2,3,5,3,3,3,2,5
370,4,4,3,2,1,4,5,4,4,2,4,1
371,4,4,NA,1,1,2,3,2,1,2,2,1
372,5,4,5,2,4,3,1,4,3,1,1,5
373,2,4,2,2,1,3,5,3,3,2,4,1
374,2,4,2,1,1,2,1,4,2,2,4,2
375,1,1,2,1,1,2,5,1,4,1,2,1
378,2,2,1,1,4,2,5,3,5,1,4,2
379,1,1,4,2,5,2,1,1,4,1,1,5
380,2,3,5,2,1,4,1,4,1,2,4,5
381,4,1,3,4,2,4,1,2,1,2,4,1
382,5,3,2,2,2,3,4,4,NA,1,1,5
383,3,2,1,1,1,1,2,3,4,4,1,1
384,3,3,2,2,4,2,1,2,1,2,2,4
386,2,3,3,4,5,2,3,4,4,2,4,NA
387,2,2,2,3,5,1,2,3,5,4,NA,1
388,1,1,2,1,1,2,3,2,4,2,4,1
390,5,4,3,2,1,2,1,2,2,2,3,1
391,1,3,2,2,1,2,1,1,2,2,2,5
392,4,1,2,4,4,3,4,2,2,3,2,1
394,4,4,3,4,1,4,1,4,1,2,3,1
396,1,NA,3,4,1,4,4,2,2,3,4,1
398,5,3,2,2,2,2,2,2,2,1,2,4
399,2,3,2,1,1,1,5,1,3,3,2,1
401,2,2,2,1,2,1,5,4,NA,2,3,1
403,1,NA,2,2,1,1,1,4,1,2,3,2
406,NA,1,2,2,1,2,4,2,2,2,4,1
407,NA,3,1,1,3,3,5,3,3,1,1,4
409,NA,4,2,2,4,1,5,1,1,1,4,3
410,NA,3,1,1,2,1,5,3,3,1,1,2
