user_id,new.cl.w2,new.cl.w3,new.cl.w4,new.cl.w5,new.cl.w6,new.cl.w7,new.cl.w8,new.cl.w9,new.cl.w10,new.cl.w11,new.cl.w12,new.cl.w13
132,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
133,DISENGAGED,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_BAL,MA_MANY-ACT_BAL_MC,SAS-ONLY_BAL,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
134,A_POS-DIFF,HA_NEG-DIFF_MC,HA_BAL_MC,MA_ALL-ACT_BAL,MA_MANY-ACT_BAL_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
135,A_POS-DIFF,HA_NEG-DIFF_MC,HA_BAL_MC,HA_NEG-DIFF_MC,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,HA_NEG-DIFF_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_BAL
136,A_POS-DIFF,A_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_BAL,HA_BAL,SAS-ONLY_BAL,SAS-MOSTLY_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
137,A_POS-DIFF,HA_NEG-DIFF_MC,SAS-MOSTLY_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,HA_NEG-DIFF_MC,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL
138,DISENGAGED,DISENGAGED,DISENGAGED,SAS-ONLY_BAL,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
139,A_POS-DIFF,HA_NEG-DIFF_MC,A_NEG-DIFF,HA_NEG-DIFF_MC,HA_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
141,DISENGAGED,A_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
142,A_POS-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF,SAS-ONLY_BAL,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
144,A_POS-DIFF,A_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
146,A_POS-DIFF,HA_NEG-DIFF_MC,HA_BAL_MC,HA_NEG-DIFF_MC,HA_BAL_MC,A_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,HA_NEG-DIFF_MC,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,HA_BAL
147,A_POS-DIFF,HA_NEG-DIFF_MC,HA_BAL_MC,HA_NEG-DIFF_MC,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,HA_NEG-DIFF_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
148,A_POS-DIFF,A_NEG-DIFF,HA_BAL_MC,MA_ALL-ACT_BAL,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
