CASE_ID,ACTIVITY_NAME,TIMESTAMP,week
237,CONTENT_ACCESS,2014-08-04 21:13:51,2
237,CONTENT_ACCESS,2014-08-04 21:14:06,2
237,VIDEO_PLAY,2014-08-04 21:14:30,2
237,VIDEO_PLAY,2014-08-04 21:14:32,2
237,VIDEO_PLAY,2014-08-04 21:14:39,2
237,VIDEO_PLAY,2014-08-04 21:14:45,2
237,VIDEO_PLAY,2014-08-04 21:14:45,2
237,VIDEO_PLAY,2014-08-04 21:14:48,2
237,VIDEO_PLAY,2014-08-04 21:14:49,2
237,VIDEO_PLAY,2014-08-04 21:14:50,2
237,VIDEO_PLAY,2014-08-04 21:14:52,2
237,VIDEO_PLAY,2014-08-04 21:15:26,2
237,VIDEO_PLAY,2014-08-04 21:15:30,2
237,VIDEO_PLAY,2014-08-04 21:15:58,2
237,CONTENT_ACCESS,2014-08-04 21:16:18,2
237,CONTENT_ACCESS,2014-08-04 21:16:21,2
237,VIDEO_PLAY,2014-08-04 21:16:23,2
237,VIDEO_PLAY,2014-08-04 21:16:25,2
237,VIDEO_PLAY,2014-08-04 21:16:30,2
237,VIDEO_PLAY,2014-08-04 21:16:30,2
237,VIDEO_PLAY,2014-08-04 21:16:30,2
237,VIDEO_PLAY,2014-08-04 21:21:12,2
237,VIDEO_PLAY,2014-08-04 21:21:14,2
237,VIDEO_PLAY,2014-08-04 21:21:15,2
275,DBOARD_ACCESS,2014-08-04 21:22:02,2
275,CONTENT_ACCESS,2014-08-04 21:22:48,2
275,VIDEO_PLAY,2014-08-04 21:22:51,2
275,VIDEO_PLAY,2014-08-04 21:22:58,2
237,CONTENT_ACCESS,2014-08-04 21:23:10,2
237,VIDEO_PLAY,2014-08-04 21:24:50,2
237,VIDEO_PLAY,2014-08-04 21:24:52,2
237,VIDEO_PLAY,2014-08-04 21:24:52,2
237,VIDEO_PLAY,2014-08-04 21:25:46,2
237,VIDEO_PLAY,2014-08-04 21:29:46,2
237,VIDEO_PLAY,2014-08-04 21:30:01,2
237,VIDEO_PLAY,2014-08-04 21:30:32,2
275,VIDEO_PLAY,2014-08-04 21:30:34,2
275,VIDEO_PLAY,2014-08-04 21:30:34,2
275,DBOARD_ACCESS,2014-08-04 21:31:17,2
237,VIDEO_PLAY,2014-08-04 21:31:38,2
237,VIDEO_PLAY,2014-08-04 21:31:57,2
275,CONTENT_ACCESS,2014-08-04 21:32:09,2
275,VIDEO_PLAY,2014-08-04 21:32:13,2
275,VIDEO_PLAY,2014-08-04 21:32:14,2
