user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,lca5
207,2,3,1,1,1,4,3,2,3,1,2,4,4
208,2,2,2,1,1,1,2,2,3,2,2,4,4
209,3,2,1,3,1,1,2,3,3,1,2,1,5
210,3,2,1,2,4,3,2,3,1,3,NA,3,5
211,2,2,4,2,4,3,1,4,1,3,4,4,1
213,2,3,3,2,3,1,3,2,3,1,2,3,4
215,2,3,4,2,1,2,3,4,5,3,1,1,1
216,2,3,2,1,1,1,2,2,3,1,2,4,4
217,3,3,1,1,1,3,3,2,5,1,1,2,2
218,1,5,4,1,1,4,3,1,2,4,3,1,3
219,1,1,5,4,1,3,4,1,2,4,3,4,3
220,5,1,4,2,1,3,3,2,3,1,2,4,4
222,4,3,4,4,1,3,3,4,3,3,1,4,1
223,5,4,2,1,1,1,5,4,2,2,1,4,2
224,1,5,4,4,1,3,NA,4,2,2,1,2,3
226,4,3,1,1,5,1,2,2,3,1,2,4,4
227,5,1,2,1,1,3,3,1,3,2,3,4,2
228,3,2,1,1,1,1,2,2,3,2,1,4,5
229,2,3,2,1,3,3,1,1,1,3,1,2,2
230,5,1,3,4,3,3,5,1,2,3,2,2,3
232,5,3,2,2,1,1,1,1,1,3,1,1,2
234,5,3,3,2,1,3,5,1,5,2,1,4,1
235,5,1,NA,1,1,1,5,1,3,2,1,4,2
236,5,4,3,2,1,2,1,1,1,3,1,1,1
237,5,3,2,2,3,2,1,1,5,3,1,2,1
239,5,3,4,4,1,3,5,1,1,3,4,1,1
240,3,2,1,1,1,3,2,1,2,1,2,4,5
241,2,2,1,1,1,3,3,3,3,1,2,4,5
242,5,3,1,1,4,3,3,2,1,1,3,4,2
243,4,4,4,4,1,3,1,4,5,3,4,1,1
244,1,3,5,4,3,3,5,NA,3,1,NA,1,3
245,NA,3,3,4,1,2,1,4,1,2,4,2,1
247,3,3,1,3,4,1,2,3,3,1,2,4,5
248,4,3,2,4,1,4,3,2,2,4,3,2,3
249,2,1,3,4,1,3,3,NA,2,1,3,1,3
252,4,3,4,4,3,3,4,1,1,4,1,1,3
254,NA,5,3,4,3,3,4,1,2,4,3,1,3
256,NA,5,5,4,1,3,4,1,NA,NA,3,1,3
257,5,3,2,1,1,1,2,2,2,1,1,4,4
258,1,5,5,4,1,3,4,1,2,3,1,1,3
259,5,5,4,1,3,3,2,1,1,4,1,4,3
260,4,5,NA,4,1,3,5,1,2,NA,NA,1,3
261,4,4,2,4,5,3,3,4,NA,4,1,2,1
262,2,3,2,1,3,3,3,1,2,3,3,1,2
