user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,lca6
317,2,2,2,1,3,2,2,2,4,2,3,2,4
319,4,3,5,1,1,4,1,4,1,1,4,4,1
320,NA,3,2,2,2,2,3,4,1,2,3,1,1
322,5,3,3,2,5,2,4,4,4,2,3,2,1
323,4,1,3,2,5,4,3,4,1,2,3,1,1
324,1,3,3,2,2,1,5,1,1,1,1,3,5
325,5,3,2,2,3,4,5,3,3,2,4,5,5
327,NA,1,3,2,NA,4,1,4,1,2,3,4,1
328,4,1,5,2,1,2,1,4,1,2,3,2,1
329,NA,1,5,4,1,4,4,2,2,3,1,4,3
331,5,4,5,2,3,2,4,4,1,2,3,4,1
332,4,1,2,4,3,2,3,4,1,2,4,1,1
333,3,2,2,1,3,3,2,1,3,1,1,2,2
334,3,4,2,4,3,3,5,1,1,2,4,1,4
337,3,4,2,2,3,3,1,1,1,2,2,2,4
338,2,1,3,2,2,2,4,2,4,2,3,1,1
339,5,4,5,2,1,3,5,1,1,2,1,1,4
340,1,3,2,3,2,1,5,3,3,2,4,1,2
342,3,2,2,1,3,2,5,1,4,2,4,2,4
343,3,2,1,1,4,1,5,1,3,1,1,2,2
344,1,4,2,2,1,3,1,4,1,2,3,1,1
345,3,3,2,1,3,1,2,3,4,1,1,2,2
346,5,3,2,3,3,1,5,3,3,1,1,2,2
347,5,3,2,1,3,2,3,4,1,2,1,3,1
350,5,3,2,1,4,3,2,1,3,1,1,1,2
351,5,2,2,1,4,1,5,3,3,1,1,2,2
352,5,4,5,2,1,2,3,4,1,2,3,5,1
358,1,1,2,4,2,2,1,1,1,2,4,4,1
360,4,1,3,2,5,2,1,2,1,2,3,1,1
362,5,1,2,4,4,4,2,1,4,1,1,2,5
366,5,1,5,4,2,3,5,3,3,3,2,5,3
370,4,4,3,2,1,4,5,4,4,2,4,1,1
371,4,4,NA,1,1,2,3,2,1,2,2,1,1
372,5,4,5,2,4,3,1,4,3,1,1,5,5
373,2,4,2,2,1,3,5,3,3,2,4,1,4
374,2,4,2,1,1,2,1,4,2,2,4,2,4
375,1,1,2,1,1,2,5,1,4,1,2,1,4
378,2,2,1,1,4,2,5,3,5,1,4,2,2
379,1,1,4,2,5,2,1,1,4,1,1,5,5
380,2,3,5,2,1,4,1,4,1,2,4,5,1
381,4,1,3,4,2,4,1,2,1,2,4,1,1
382,5,3,2,2,2,3,4,4,NA,1,1,5,5
383,3,2,1,1,1,1,2,3,4,4,1,1,6
384,3,3,2,2,4,2,1,2,1,2,2,4,4
386,2,3,3,4,5,2,3,4,4,2,4,NA,1
387,2,2,2,3,5,1,2,3,5,4,NA,1,6
388,1,1,2,1,1,2,3,2,4,2,4,1,1
390,5,4,3,2,1,2,1,2,2,2,3,1,1
391,1,3,2,2,1,2,1,1,2,2,2,5,4
392,4,1,2,4,4,3,4,2,2,3,2,1,3
394,4,4,3,4,1,4,1,4,1,2,3,1,1
396,1,NA,3,4,1,4,4,2,2,3,4,1,3
398,5,3,2,2,2,2,2,2,2,1,2,4,5
399,2,3,2,1,1,1,5,1,3,3,2,1,4
401,2,2,2,1,2,1,5,4,NA,2,3,1,4
403,1,NA,2,2,1,1,1,4,1,2,3,2,4
406,NA,1,2,2,1,2,4,2,2,2,4,1,3
407,NA,3,1,1,3,3,5,3,3,1,1,4,2
409,NA,4,2,2,4,1,5,1,1,1,4,3,5
410,NA,3,1,1,2,1,5,3,3,1,1,2,2
