user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,seq.cl
147,A,HA,HA,HA,A,A,MA,HA,HA,A,MA,A,2
148,A,A,HA,MA,DENG,SAS,SAS,SAS,SAS,SAS,SAS,A,3
149,MA,A,SAS,SAS,HA,SAS,SAS,A,MA,SAS,SAS,A,3
150,DENG,DENG,SAS,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,HA,4
151,MA,A,HA,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,A,3
152,MA,SAS,NA,SAS,DENG,SAS,SAS,A,SAS,SAS,SAS,SAS,3
154,MA,A,HA,HA,HA,A,MA,HA,MA,A,MA,HA,2
155,A,A,A,MA,HA,SAS,MA,A,SAS,SAS,SAS,A,1
156,DENG,DENG,DENG,SAS,NA,NA,NA,NA,NA,NA,NA,NA,4
157,A,A,HA,SAS,HA,SAS,MA,A,MA,SAS,SAS,HA,2
158,MA,A,DENG,NA,A,SAS,NA,SAS,SAS,SAS,NA,HA,1
159,DENG,DENG,DENG,NA,HA,SAS,MA,SAS,MA,SAS,SAS,A,4
160,A,A,A,MA,HA,A,MA,A,MA,A,MA,A,2
161,NA,NA,NA,NA,A,SAS,SAS,SAS,DENG,SAS,SAS,A,3
162,SAS,A,SAS,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,A,3
164,MA,SAS,SAS,SAS,MA,SAS,SAS,SAS,MA,SAS,MA,HA,3
165,MA,DENG,SAS,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,A,3
166,A,NA,A,MA,HA,A,MA,A,MA,SAS,SAS,HA,2
167,SAS,NA,NA,HA,A,SAS,SAS,SAS,SAS,SAS,MA,A,3
169,MA,NA,NA,MA,DENG,A,MA,A,HA,A,MA,SAS,2
170,MA,SAS,DENG,SAS,A,NA,SAS,SAS,NA,SAS,SAS,SAS,4
172,MA,HA,A,MA,A,A,MA,HA,MA,A,MA,A,2
174,A,A,SAS,SAS,MA,SAS,SAS,SAS,SAS,SAS,SAS,SAS,4
175,NA,DENG,NA,NA,NA,SAS,SAS,SAS,DENG,NA,NA,SAS,4
176,A,A,A,MA,A,SAS,SAS,A,MA,SAS,SAS,A,2
177,SAS,SAS,SAS,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,A,3
178,A,A,NA,SAS,DENG,SAS,SAS,SAS,SAS,SAS,SAS,HA,3
180,A,HA,HA,HA,A,A,MA,HA,HA,A,MA,A,2
181,DENG,A,A,SAS,DENG,MA,SAS,SAS,DENG,SAS,SAS,SAS,3
182,A,HA,HA,MA,DENG,SAS,SAS,A,SAS,SAS,SAS,SAS,3
