STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,WEEK,state,S1,S2,S3,S4,S5
1360,34993,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1360,34994,0,0,0,0,5,2,0,12,1,0.999993914276989,0,0,6.08572301118112e-06,0
1360,34995,6,2,0,0,3,2,0,12,1,1,0,0,0,0
1360,34996,0,0,0,0,6,3,0,12,1,1,0,0,0,0
1360,34997,0,0,0,0,5,4,0,12,1,0.999988796495278,0,0,1.12035047219864e-05,0
1360,34998,4,10,0,0,4,4,0,12,1,0.999978032755783,0,0,2.19672442170276e-05,0
1360,34999,0,0,0,0,0,0,0,12,1,0.999961651369244,0,0,3.83486307559931e-05,0
1360,35000,2,6,9,5,0,1,0,12,4,0,0,0,1,0
1360,35001,0,0,0,0,8,3,0,12,1,0.999904551784676,0,0,9.54482153235834e-05,0
1360,35002,0,0,0,0,7,0,0,12,1,0.999941146374565,0,0,5.88536254346794e-05,0
1360,35003,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1360,35004,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1360,35005,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1360,35006,6,7,1,6,2,1,0,12,4,0,0,0,1,0
1360,35007,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1360,35008,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1360,35009,3,10,0,0,0,8,0,12,1,0.999968295327895,0,0,3.17046721053214e-05,0
1360,35010,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1361,35149,0,0,10,6,0,0,0,12,5,0,0,0,4.38561964173078e-05,0.999956143803583
1361,35150,0,0,0,0,5,3,0,12,1,0.999985384017533,0,0,1.46159824673655e-05,0
1361,35151,0,0,0,0,9,0,0,12,1,0.999971700182737,0,0,2.82998172632647e-05,0
1361,35152,0,0,0,0,9,1,0,12,1,0.999904214186901,0,0,9.57858130990328e-05,0
1361,35153,0,0,0,0,10,0,0,12,1,1,0,0,0,0
1361,35154,0,0,10,6,0,0,0,12,5,0,0,0,0.000303045707617508,0.999696954292382
1362,35237,0,0,10,5,0,0,0,12,5,0,0,0,2.0259417570278e-05,0.99997974058243
1362,35238,0,0,10,5,0,0,0,12,5,0,0,0,2.0259417570278e-05,0.99997974058243
1362,35239,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1363,35277,0,0,10,5,0,0,0,12,5,0,0,0,3.15891935770022e-05,0.999968410806423
1363,35278,0,0,0,0,0,0,10,12,2,0,1,0,0,0
1364,35455,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1364,35456,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1364,35457,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1364,35458,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1364,35459,6,6,0,0,0,3,2,12,1,0.9999908131991,0,0,9.18680090015936e-06,0
1364,35460,6,8,0,0,3,2,0,12,1,0.999951884884983,0,0,4.81151150164362e-05,0
1364,35461,7,6,0,0,2,3,0,12,1,0.999956731552873,0,0,4.3268447127353e-05,0
1364,35462,5,10,0,0,0,5,2,12,1,0.999877080475834,0,0,0.000122919524166363,0
1364,35463,10,9,0,0,0,0,0,12,1,1,0,0,0,0
1364,35464,3,8,6,8,0,1,1,12,4,0,0,0,1,0
1364,35465,0,0,10,10,0,0,0,12,5,0,0,0,9.24986397363469e-05,0.999907501360264
1365,35587,0,0,10,3,0,0,0,12,5,0,0,0,6.10888982254658e-06,0.999993891110177
1365,35588,0,0,10,3,0,0,0,12,5,0,0,0,6.10888982254658e-06,0.999993891110178
1365,35589,0,0,0,0,0,7,4,12,2,0.00174395255543372,0.998256047444566,0,0,0
1366,35659,0,0,10,4,0,0,0,12,5,0,0,0,1.91864135026026e-05,0.999980813586497
1367,35697,0,0,10,2,0,0,0,12,5,0,0,0,7.10309573073137e-06,0.999992896904269
1367,35698,0,0,10,3,0,0,0,12,5,0,0,0,6.10888982254658e-06,0.999993891110177
1367,35699,0,0,10,3,0,0,0,12,5,0,0,0,6.10888982254658e-06,0.999993891110178
1367,35700,0,0,0,0,0,0,10,12,2,0,1,0,0,0
1368,35767,0,0,0,0,0,0,10,12,2,0,1,0,0,0
1368,35768,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1368,35769,0,0,0,0,4,4,0,12,1,0.999989913155771,0,0,1.00868442286296e-05,0
1368,35770,3,6,0,0,5,1,0,12,1,0.999929010091266,0,0,7.09899087338722e-05,0
1368,35771,1,10,5,7,4,0,0,12,4,0,0,0,1,0
1368,35772,0,0,10,10,0,0,0,12,5,0,0,0,9.24986397363469e-05,0.999907501360264
1369,35878,0,0,10,5,0,0,0,12,5,0,0,0,2.0259417570278e-05,0.99997974058243
1369,35879,0,0,10,6,0,0,0,12,5,0,0,0,2.81268625411008e-05,0.999971873137459
1370,36020,0,0,10,4,0,0,0,12,5,0,0,0,1.00948613976754e-05,0.999989905138602
1370,36021,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1370,36022,0,0,6,6,0,6,0,12,4,0,0,0,1,0
1370,36023,0,0,9,7,0,2,0,12,5,0,0,0,0.473310479769935,0.526689520230065
1370,36024,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1370,36025,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1375,36162,0,0,10,9,0,0,0,12,5,0,0,0,0.000177531860588399,0.999822468139412
1375,36163,2,5,3,4,4,1,0,12,4,0,0,0,1,0
1376,36220,0,0,10,4,0,0,0,12,5,0,0,0,4.0394186020452e-05,0.99995960581398
1377,36326,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1377,36327,9,8,0,0,0,3,0,12,1,0.999991822019732,0,0,8.17798026798423e-06,0
1377,36328,10,9,0,0,0,0,0,12,1,1,0,0,0,0
1377,36329,10,10,0,0,0,0,0,12,1,1,0,0,0,0
1377,36330,0,0,10,10,0,0,0,12,5,0,0,0,0.000249081764302964,0.999750918235697
1377,36331,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1377,36332,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1377,36333,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1377,36334,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1377,36335,5,6,0,0,3,1,0,12,1,0.999878756016273,0,0,0.000121243983726703,0
1377,36336,2,7,3,9,3,1,0,12,4,0,0,0,1,0
1377,36337,0,0,0,0,0,0,10,12,2,0,1,0,0,0
1378,36462,0,0,9,5,1,2,0,12,4,0,0,0,0.925212243322762,0.074787756677238
1378,36463,3,7,4,6,3,1,1,12,4,0,0,0,1,0
1378,36464,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1378,36465,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1378,36466,0,0,0,0,0,7,4,12,2,0.00456975888254761,0.995430241117452,0,0,0
1378,36467,0,0,0,0,0,0,10,12,2,0,1,0,0,0
1378,36468,0,0,0,0,0,0,10,12,2,0,1,0,0,0
1378,36469,0,0,10,3,0,0,0,12,5,0,0,0,1.16106702528561e-05,0.999988389329747
1378,36470,0,0,0,0,0,0,10,12,2,0,1,0,0,0
1379,36576,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1379,36577,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1379,36578,0,0,10,8,0,0,0,12,5,0,0,0,0.000132129982070594,0.999867870017929
1379,36579,0,0,0,0,5,2,0,12,1,0.999988040956256,0,0,1.19590437435347e-05,0
