user_id,W2_Sun,W2_Mon,W2_Tue,W2_Wed,W2_Thu,W2_Fri,W2_Sat,W3_Sun,W3_Mon,W3_Tue,W3_Wed,W3_Thu,W3_Fri,W3_Sat,W4_Sun,W4_Mon,W4_Tue,W4_Wed,W4_Thu,W4_Fri,W4_Sat,W5_Sun,W5_Mon,W5_Tue,W5_Wed,W5_Thu,W5_Fri,W5_Sat,W7_Sun,W7_Mon,W7_Tue,W7_Wed,W7_Thu,W7_Fri,W7_Sat,W8_Sun,W8_Mon,W8_Tue,W8_Wed,W8_Thu,W8_Fri,W8_Sat,W9_Sun,W9_Mon,W9_Tue,W9_Wed,W9_Thu,W9_Fri,W9_Sat,W10_Sun,W10_Mon,W10_Tue,W10_Wed,W10_Thu,W10_Fri,W10_Sat,W11_Sun,W11_Mon,W11_Tue,W11_Wed,W11_Thu,W11_Fri,W11_Sat,W12_Sun,W12_Mon,W12_Tue,W12_Wed,W12_Thu,W12_Fri,W12_Sat,W2_cnt,W3_cnt,W4_cnt,W5_cnt,W7_cnt,W8_cnt,W9_cnt,W10_cnt,W11_cnt,W12_cnt,tot_cnt,weekly_cnt_sd,weekly_entropy
892,0,2,3,1,4,0,0,1,2,1,0,1,1,1,0,6,3,0,0,1,0,0,3,3,0,0,1,0,1,1,2,0,0,1,0,0,3,2,2,1,0,0,0,0,3,3,1,0,0,2,4,2,0,3,2,1,3,4,1,0,2,4,1,4,1,3,0,0,0,0,4,6,3,3,4,4,3,6,6,3,42,1.3165611772087666,-0.10293192532270345
893,0,0,3,0,3,0,0,0,1,3,0,3,0,0,0,0,1,1,2,0,0,2,0,2,0,0,0,2,0,0,2,1,1,1,0,0,0,3,1,2,0,0,0,0,1,1,1,0,0,0,0,1,0,3,0,0,0,0,1,1,1,0,0,0,0,3,1,1,0,0,2,3,3,3,4,3,3,2,3,3,29,0.5676462121975467,-0.09830530872389712
894,2,2,0,1,2,0,3,0,1,0,4,1,0,0,0,0,0,4,0,0,0,3,1,0,4,0,1,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,5,3,1,4,2,1,1,0,2,1,20,1.5634719199411433,-0.14203455933836856
895,0,0,2,4,4,0,0,0,1,0,2,6,0,0,0,1,3,0,5,1,0,1,0,2,1,8,5,0,0,1,0,4,6,0,0,0,3,3,0,2,1,0,0,0,0,1,4,0,0,0,2,0,1,4,3,0,0,0,0,0,2,1,1,2,0,0,1,4,1,0,3,3,4,5,3,4,2,4,3,4,35,0.8498365855987975,-0.09991631995770353
896,2,2,0,3,2,1,0,2,1,0,3,3,2,0,1,6,0,1,1,0,1,4,4,1,3,2,2,0,1,1,0,1,2,1,0,0,3,0,1,3,0,3,0,0,0,2,3,2,1,3,3,0,2,3,2,1,1,2,0,1,3,0,0,2,0,0,2,1,0,1,5,5,5,6,5,4,4,6,4,4,48,0.7888106377466155,-0.09741453757370422
897,0,3,2,2,0,0,0,2,0,2,0,1,1,4,1,3,3,1,0,0,0,0,3,1,1,1,0,0,0,2,6,0,1,0,0,2,3,0,0,0,1,0,0,0,4,0,1,0,0,1,0,1,0,1,0,0,0,3,0,1,1,1,0,0,1,0,0,2,0,0,3,5,4,4,3,3,2,3,4,2,33,0.9486832980505138,-0.10175199179999239
898,0,2,0,0,4,0,1,0,0,1,0,3,0,0,0,0,1,0,2,0,0,1,4,0,0,1,0,0,0,3,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,2,3,3,3,2,0,1,1,20,1.0540925533894598,-0.11732923578333587
899,0,1,1,0,3,1,0,0,1,1,2,3,0,0,0,1,1,2,4,0,0,0,1,2,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,4,4,3,3,0,1,5,1,2,27,1.636391694484477,-0.12426353911110335
900,0,0,0,4,1,1,0,0,0,1,6,3,1,0,2,2,3,1,4,0,2,0,1,2,1,4,3,1,0,0,1,0,2,2,0,4,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,5,1,4,0,0,0,0,4,2,1,0,0,0,0,2,1,1,3,4,6,6,3,4,1,4,3,3,37,1.4944341180973264,-0.10803900081166919
901,1,3,1,0,2,3,0,0,3,0,1,0,1,0,0,3,0,0,0,1,0,1,4,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,3,2,3,2,2,2,1,2,1,23,1.1595018087284057,-0.11470003139184207
