user_id,tot_video_cnt,median_video_cnt,mad_video_cnt,days_video_used,prop_video_used,tot_exe_cnt,median_exe_cnt,mad_exe_cnt,days_exe_used,prop_exe_used,tot_mcq_cnt,median_mcq_cnt,mad_mcq_cnt,days_mcq_used,prop_mcq_used,tot_mcog_cnt,median_mcog_cnt,mad_mcog_cnt,days_mcog_used,prop_mcog_used,tot_res_cnt,median_res_cnt,mad_res_cnt,days_res_used,prop_res_used
740,0,0,0,0,0,491,0,0,5,0.45454545454545453,47,0,0,3,0.2727272727272727,2,0,0,2,0.18181818181818182,121,9,7.412999999999999,11,1
741,116,0,0,14,0.4666666666666667,857,11.5,17.049899999999997,16,0.5333333333333333,423,4.5,6.6716999999999995,17,0.5666666666666667,128,2,2.9652,19,0.6333333333333333,542,13.5,10.3782,30,1
743,301,0,0,6,0.23076923076923078,1096,24,35.5824,17,0.6538461538461539,185,0,0,8,0.3076923076923077,40,0,0,10,0.38461538461538464,384,12.5,12.6021,26,1
744,21,0,0,2,0.058823529411764705,1128,20.5,30.3933,22,0.6470588235294118,66,0,0,5,0.14705882352941177,9,0,0,5,0.14705882352941177,497,6,5.9304,34,1
745,178,0,0,8,0.27586206896551724,479,0,0,12,0.41379310344827586,94,0,0,10,0.3448275862068966,15,0,0,5,0.1724137931034483,361,12,8.8956,29,1
746,226,0,0,10,0.4,791,18,26.686799999999998,15,0.6,78,0,0,8,0.32,3,0,0,3,0.12,179,5,4.4478,25,1
747,202,0,0,4,0.21052631578947367,823,47,32.6172,16,0.8421052631578947,131,0,0,5,0.2631578947368421,13,0,0,4,0.21052631578947367,142,2,1.4826,19,1
748,463,0,0,6,0.2857142857142857,1488,25,37.065,17,0.8095238095238095,67,0,0,6,0.2857142857142857,46,0,0,5,0.23809523809523808,635,25,25.2042,21,1
749,15,0,0,1,0.05263157894736842,686,24,35.5824,10,0.5263157894736842,12,0,0,2,0.10526315789473684,5,0,0,3,0.15789473684210525,1210,51,40.0302,19,1
750,69,0,0,6,0.3,975,37.5,55.5975,14,0.7,12,0,0,2,0.1,16,0,0,2,0.1,122,5,2.9652,20,1
751,72,0,0,10,0.4166666666666667,1183,41,60.7866,18,0.75,409,0,0,11,0.4583333333333333,6,0,0,3,0.125,221,7.5,6.6716999999999995,22,0.9166666666666666
753,931,0,0,9,0.3333333333333333,1189,1,1.4826,15,0.5555555555555556,170,0,0,7,0.25925925925925924,61,0,0,6,0.2222222222222222,652,13,10.3782,27,1
