user_id,tot_ontopic_cnt,median_ontopic_cnt,mad_ontopic_cnt,ontopic_days,ontopic_prop,tot_revisit_cnt,median_revisit_cnt,mad_revisit_cnt,revisit_days,revisit_prop,tot_metacog_cnt,median_metacog_cnt,mad_metacog_cnt,metacog_days,metacog_prop,tot_orient_cnt,median_orient_cnt,mad_orient_cnt,orinet_days,orient_prop,tot_prj_cnt,median_prj_cnt,mad_prj_cnt,prj_days,prj_prop
1345,1499,0,0,19,0.4418604651162791,513,0,0,18,0.4186046511627907,213,3,2.9652,38,0.8837209302325582,234,3,2.9652,39,0.9069767441860465,37,0,0,7,0.16279069767441862
1346,672,1.5,2.2239,17,0.5,200,0.5,0.7413,17,0.5,346,9,5.9304,33,0.9705882352941176,298,7,3.7064999999999997,34,1,49,0,0,7,0.20588235294117646
1347,684,0,0,17,0.4594594594594595,257,0,0,10,0.2702702702702703,282,5,5.9304,37,1,253,4,4.4478,37,1,47,0,0,7,0.1891891891891892
1354,548,47,16.3086,12,0.8,277,14,20.7564,11,0.7333333333333333,105,4,2.9652,15,1,85,4,4.4478,15,1,1,0,0,1,0.06666666666666667
1355,1826,17,25.2042,28,0.717948717948718,92,0,0,11,0.28205128205128205,170,3,2.9652,35,0.8974358974358975,234,5,4.4478,37,0.9487179487179487,30,0,0,4,0.10256410256410256
1357,1111,1,1.4826,21,0.5384615384615384,341,0,0,15,0.38461538461538464,458,7,8.8956,37,0.9487179487179487,418,8,8.8956,38,0.9743589743589743,109,0,0,11,0.28205128205128205
1358,1273,0,0,21,0.42857142857142855,1925,3,4.4478,30,0.6122448979591837,496,9,8.8956,48,0.9795918367346939,581,9,8.8956,49,1,103,0,0,10,0.20408163265306123
1359,365,0,0,9,0.375,281,0,0,10,0.4166666666666667,151,4,4.4478,24,1,134,4.5,4.4478,24,1,16,0,0,4,0.16666666666666666
1360,2769,38,54.856199999999994,48,0.7868852459016393,1045,0,0,24,0.39344262295081966,1088,18,11.8608,61,1,1116,16,8.8956,61,1,172,0,0,19,0.3114754098360656
1361,2607,1.5,2.2239,19,0.5588235294117647,448,2.5,3.7064999999999997,17,0.5,364,7,6.6716999999999995,34,1,335,7,6.6716999999999995,34,1,41,0,0,7,0.20588235294117646
1362,585,0,0,14,0.4375,416,0,0,11,0.34375,300,4,4.4478,32,1,287,5,4.4478,32,1,27,0,0,3,0.09375
1363,307,2,2.9652,10,0.5882352941176471,248,7,10.3782,12,0.7058823529411765,100,5,4.4478,13,0.7647058823529411,127,5,5.9304,16,0.9411764705882353,4,0,0,1,0.058823529411764705
