user_id,ses_tot,inactive_week_cnt,week_prop_sd,week_prop_mad,week_entropy,weekday_prop_sd,weekday_prop_mad,weekday_entropy,ses_timegap_mad,weekly_preparing_prop_mad,weekly_revisiting_prop_mad,weekly_catching-up_prop_mad,weekly_ahead_prop_mad,topic_cnt_median,topic_cnt_mad,res_type_median,res_type_mad,on_topic_prop,last_min_prop,on_topic_prop_mad,last_min_prop_mad,on_topic_prop_sd,last_min_prop_sd
1027,62,0,0.04796711402837734,0.059782258064516126,-0.11324708254574119,0.13017923402604178,0.0478258064516129,-0.2144713673236877,865.7912640306139,0.0814331299040977,0.18737233760494915,0,0,2,0,1,0,0.5227272727272727,0.13636363636363635,0.24709999999999993,0.24710000000000001,0.300513963028856,0.3225564427044649
1028,86,0,0.03387871842389482,0.04309883720930232,-0.10431968320771172,0.14157333467550737,0.13791627906976744,-0.2291049336981617,553.8376741504466,0.290495374015748,0.29049537401574804,0,0,2,0,1,0,0.34285714285714286,0.05714285714285714,0.19768,0,0.2542374152387847,0.34426518632954817
1029,78,0,0.07396990264416685,0.038015384615384624,-0.13565881070483757,0.07743015609148769,0.07603076923076921,-0.16331471551881252,666.8662898169088,0.3491366052866052,0.36416295663795667,0,0,2,0,2,1.4826,0.2676056338028169,0.15492957746478872,0.407715,0.61775,0.32550530518519005,0.3932297415374753
1030,79,0,0.035528328160372796,0.0563012658227848,-0.10518484602487704,0.13390512291454526,0.18767088607594937,-0.22197140602551038,487.89820059424636,0.07851916841736092,0.09253388544461921,0,0,2,0,2,1.4826,0.4827586206896552,0.08620689655172414,0.25416,0.2471,0.2713160272105487,0.40406881213262624
1032,55,0,0.04867387395214851,0.053912727272727265,-0.1136860481605509,0.16038128516521977,0.08086909090909089,-0.2509370544612932,803.5532703572368,0.4586561090909091,0.4697501052631579,0,0,2,0,1,0,0.40540540540540543,0.1891891891891892,0.2471,0.6177499999999999,0.34321153054481807,0.43129097458897137
1033,44,0,0.07666127661014253,0.033695454545454535,-0.13880862483045625,0.11265812709673682,0.06739090909090907,-0.19405077769254497,1002.614776525545,0,0,0,0,2,0,2,1.4826,0.45454545454545453,0.1590909090909091,0,0.24710000000000001,0.2796985743921603,0.2698879511442471
1034,43,0,0.062063934577513476,0.03447906976744186,-0.12418022608722444,0.15682799235688238,0.13791627906976744,-0.24819296687856704,1751.4650056121923,0.004479154078549812,0,0,0,2,0,2,1.4826,0.6333333333333333,0.03333333333333333,0,0,0.1932503014547343,0.31622776601683794
1035,30,0,0.03513641844631532,0,-0.10496186908427656,0.19504442581711492,0.09884,-0.30689927985056503,1903.8594312437913,0.13672089622641512,0.20037275641025643,0,0,2,0,2,0,0.4230769230769231,0.3076923076923077,0.185325,0,0.3073181485764296,0.5
1036,57,0,0.04825890300766727,0.05202105263157894,-0.11334625660702657,0.14935605131183252,0.07803157894736841,-0.23541417185621605,1395.3869764382791,0.2661449899403046,0.07854526645768026,0,0,2,0,2,1.4826,0.45454545454545453,0.15151515151515152,0.555975,0.555975,0.38215954569701244,0.47127297215702313
1037,31,0,0.05780507550845424,0.07173870967741935,-0.12122853276101246,0.21385997381459715,0.0956516129032258,-0.3380565126700117,731.2636145067454,0,0,0,0,2,0,2,1.4826,0.5789473684210527,0.47368421052631576,0,0,0.24152294576982397,0.4216370213557839
1038,70,0,0.02776643759450143,0.031769999999999986,-0.10134030598443769,0.12777531299998798,0.12707999999999997,-0.2097835719457382,994.4152897593165,0.05930399999999997,0.08335825444597292,0,0,2,0,2,1.4826,0.6222222222222222,0.2,0.2824,0.49420000000000003,0.25925657325031237,0.5018484351393873
1039,35,1,0.054294067861863714,0.021180000000000004,-0.11877611509032088,0.13702375780893483,0.12708,-0.22365537902413565,2756.3440097259536,0.37791764705882347,0.3580106138107417,0,0,2,0,2,1.4826,0.4444444444444444,0.25925925925925924,0.24710000000000001,0.7413,0.30472108274880644,0.4166666666666667
1040,52,0,0.057191559033834515,0.08553461538461539,-0.12089850644418344,0.14890177473049931,0.1425576923076923,-0.23923456742996108,421.1796664377463,0,0,0,0,2,0,1,0,0.9230769230769231,0.15384615384615385,0,0,0,0.32791899029719346
1041,53,0,0.03778822361207497,0.04196037735849058,-0.10642027718448163,0.117253255643829,0.05594716981132076,-0.19812593272985238,1087.4629482617759,0.3620200707338638,0,0,0,2,1.4826,1,0,0.5483870967741935,0.12903225806451613,0,0.14826,0.4486479225716036,0.3654742515847437
1042,82,0,0.05038027117017778,0.027120731707317065,-0.11535280050124676,0.13316609437455137,0.18080487804878048,-0.21860903981812507,457.57870170524365,0.15094343891402726,0.056587786259541986,0,0,2,0,1,0,0.5111111111111111,0.06666666666666667,0,0,0.31268651287079346,0.415832498329155
1044,46,0,0.041247099915239734,0.048345652173913047,-0.10863226780910228,0.14575334084304795,0.09669130434782608,-0.2342857745911826,1262.515123029282,0.4942,0.3130279411764706,0,0,2,0,1,0,0.2692307692307692,0,0.4942,0,0.4148106811963355,0
